"Profile","Location","Depth","Fmax1","Fmax2","Fmax3","Fmax4"
1,"ALOHA",4200,0.825894653,1.098128096,0.2454732108,0.2509116024
2,"ALOHA",4200,0.8211797068,1.000915684,0.2972719026,0.2679285628
3,"ALOHA",4200,0.8894307584,1.158642386,0.3090280378,0.2914348133
1,"ALOHA",4400,0.8740101053,1.12764712,0.2876145714,0.2982953739
2,"ALOHA",4400,0.8295546767,1.030686874,0.2970111854,0.273425832
3,"ALOHA",4400,0.8753843108,1.118308411,0.3226733105,0.2756505572
1,"ALOHA",4600,0.8856322918,1.159563908,0.318872975,0.2981018581
2,"ALOHA",4600,0.8499625427,1.057511627,0.2932329274,0.2921282475
3,"ALOHA",4600,0.8775167386,1.117371519,0.3148478211,0.301520999
1,"ALOHA",4730,0.8025865186,1.06166265,0.2573490945,0.2516144606
2,"ALOHA",4730,0.8196233801,1.020057973,0.2653647986,0.2698800472
