"ID","O_C_ratio","H_C_ratio","N_C_ratio","KMD","M_kmd_z","Neutral_Mass","DBE"
17286,0.636363636,1.636363636,0,0.251,0.017928571,294.0773214,3
8381,0.5,1.833333333,0,0.215,0.015357143,294.113721,2
21449,0.285714286,2.142857143,0,0.142,0.010142857,294.1864745,0
9852,0.583333333,0.666666667,0,0.331,0.027583333,295.9990746,9
17361,0.461538462,0.923076923,0,0.295,0.024583333,296.0355307,8
16040,0.8,1.6,0,0.274,0.022833333,296.0565635,3
15515,0.636363636,1.818181818,0,0.238,0.019833333,296.0929527,2
4664,0.1875,1.5,0,0.186,0.0155,296.1446253,5
16922,0.583333333,0.833333333,0,0.318,0.0318,298.0147091,8
17734,0.461538462,1.076923077,0,0.282,0.0282,298.0511921,7
21469,0.1875,1.625,0,0.173,0.0173,298.1602492,4
17852,0.583333333,1,0,0.305,0.038125,300.0304253,7
13988,0.461538462,1.230769231,0,0.268,0.0335,300.0668272,6
13445,0.727272727,0.909090909,0,0.328,0.054666667,302.0096616,7
18286,0.583333333,1.166666667,0,0.291,0.0485,302.046012,6
17837,0.461538462,1.384615385,0,0.255,0.0425,302.0824888,5
1944,0.428571429,0.571428571,0,0.335,0.08375,304.0042685,11
19660,0.583333333,1.333333333,0,0.278,0.0695,304.0617046,5
19663,0.461538462,1.538461538,0,0.241,0.06025,304.0981287,4
15614,0.357142857,1.714285714,0,0.205,0.05125,304.1343823,3
17044,0.1875,2,0,0.132,0.033,304.207276,1
17059,0.727272727,1.272727273,0,0.301,0.1505,306.0408929,5
19104,0.583333333,1.5,0,0.264,0.132,306.077336,4
16979,0.461538462,1.692307692,0,0.228,0.114,306.1136647,3
4594,0.1875,2.125,0,0.119,0.0595,306.2229746,0
13327,0.428571429,0.857142857,0,0.309,0.022071429,308.03542,9
17515,0.727272727,1.454545455,0,0.287,0.0205,308.0565412,4
15980,0.583333333,1.666666667,0,0.251,0.017928571,308.092894,3
18509,0.266666667,2.133333333,0,0.142,0.010142857,308.2021183,0
13328,0.538461538,0.769230769,0,0.331,0.027583333,310.0147927,9
15810,0.727272727,1.636363636,0,0.274,0.022833333,310.0721602,3
17699,0.176470588,1.529411765,0,0.186,0.0155,310.1602823,5
21521,0.357142857,2.142857143,0,0.165,0.01375,310.1814339,0
17577,0.538461538,0.923076923,0,0.318,0.0318,312.0304052,8
15453,0.9,1.6,0,0.297,0.0297,312.051436,3
18157,0.428571429,1.142857143,0,0.282,0.0282,312.0664704,7
21532,0.176470588,1.647058824,0,0.173,0.0173,312.1758906,4
16103,0.666666667,0.833333333,0,0.341,0.042625,314.0096866,8
18928,0.538461538,1.076923077,0,0.305,0.038125,314.0460824,7
17060,0.666666667,1,0,0.328,0.054666667,316.0252391,7
19692,0.538461538,1.230769231,0,0.291,0.0485,316.0617194,6
